Rank,Name,,Country,Qualification,Semi-final,Final
1,JANJA,GARNBRET,SLO,1805.0,175.0,177.0
2,JESSICA,PILZ,AUT,910.0,98.5,157.1
3,AI,MORI,JPN,1495.0,136.9,140.6
4,BROOKE,RABOUTOU,USA,1235.0,122.1,137.8
5,JAIN,KIM,KOR,251.5,91.1,106.2
6,ORIANE,BERTONE,FRA,1130.0,133.5,93.8
7,MIHO,NONAKA,JPN,520.0,108.0,93.5
8,ANASTASIA,SANDERS,USA,501.0,92.5,69.7
9,NATALIA,GROSSMAN,USA,613.0,88.5,
10,CHAEHYUN,SEO,KOR,700.5,86.4,
11,MANON,HILY,FRA,431.66,82.3,
12,MOLLY,THOMPSON-SMITH,GBR,565.0,78.7,
13,HÉLÈNE,JANICOT,FRA,248.4,73.6,
14,MIA,KRAMPL,SLO,649.5,73.6,
15,ZÉLIA,AVEZOU,FRA,765.0,73.3,
16,OCEANIA,MACKENZIE,AUS,465.5,71.0,
17,VITA,LUKAN,SLO,357.4,65.5,
18,AYALA,KEREM,ISR,381.5,53.8,
19,YEJOO,SEO,KOR,248.4,53.0,
20,KYRA,CONDIE,USA,265.5,45.5,
21,LAURA,ROGORA,ITA,586.66,32.9,
22,LYNN,VAN DER MEER,NED,244.5,,
23,FRANZISKA,STERRER,AUT,228.19,,
24,ELNAZ,REKABI,IRI,225.0,,
25,NONOHA,KUME,JPN,183.5,,
26,IEVGENIIA,KAZBEKOVA,UKR,175.0,,
27,STASA,GEJO,SRB,173.0,,
28,LUCIA,DÖRFFEL,GER,157.16,,
29,CAMILLA,MORONI,ITA,145.16,,
30,RYU,NAKAGAWA,JPN,104.0,,
31,ALANNAH,YIP,CAN,103.0,,
32,ZHILU,LUO,CHN,102.4,,
33,ANASTASIIA,KOBETS,UKR,92.16,,
34,ELISKA,ADAMOVSKA,CZE,77.0,,
35,ERIN,MCNEICE,GBR,73.66,,
36,HANNAH,MEUL,GER,55.5,,
37,CHAEYEONG,KIM,KOR,53.0,,
38,MICHAELA,SMETANOVA,CZE,45.5,,
39,GIORGIA,TESIO,ITA,35.5,,
40,VALENTINA,AGUADO,ARG,32.0,,
41,NOA,SHIRAN,ISR,24.19,,
42,ANON,MATSUFUJI,JPN,18.0,,
43,MAYA,DREAMER,ISR,17.19,,
44,IZIAR,MARTÍNEZ ALMENDROS,ESP,16.16,,
45,ALEJANDRA,CONTRERAS,CHI,16.0,,
46,CHLOE,CAULIER,BEL,13.5,,
47,REBECCA,FRANGOS,CAN,10.5,,
48,MARGARITA,AGAMBAYEVA,KAZ,10.19,,
49,INDIANA,CHAPMAN,CAN,10.0,,
50,BABETTE,ROY,CAN,9.33,,
51,ALEKSANDRA,TOTKOVA,BUL,8.66,,
52,VALERI,KREMER,ISR,8.19,,
53,KYLIE,CULLEN,USA,6.83,,
54,SARINA,GHAFFARI,IRI,5.33,,
55,ANNE,ACKRE,NOR,4.5,,
56,MARTINA,CASTRO,CHI,4.33,,
56,ANJA,KÖHLER,BRA,4.33,,
58,ARANTZA,LUNA VELASCO,MEX,4.0,,
59,MARKETA,JANOSOVA,CZE,4.0,,
60,DARIA,NESTERENKO,UKR,3.0,,
61,ROCIO AILEN,BECERRA,ARG,2.66,,
62,LIANET,CASTILLO,VEN,2.0,,
62,EMILIA,DAVILA,ECU,2.0,,
62,BIANCA,DE MAGALHAES DE CASTRO,BRA,2.0,,
62,NIKA,POTAPOVA,UKR,2.0,,
62,FUJIYANTI,WIDIA,INA,2.0,,
67,MATILDE,CABEZAS,CHI,1.0,,
67,EMA,GALEOVA,CZE,1.0,,
67,MARÍA FERNANDA,GONZÁLEZ RÁMIREZ,MEX,1.0,,
67,HUNG YING,LEE,TPE,1.0,,
67,REGINA,SALAZAR PUGA,MEX,1.0,,
67,RATTANKORN,SUTHAPHAISANWITHAYA,THA,1.0,,
73,SVANA,BJARNASON,ISL,0.5,,
73,SUKMA,LINTANG CAHYANI,INA,0.5,,
73,ANJA,SANTINI MIKULIĆ,CRO,0.5,,
76,VIKTORIYA,ADAMENKO,KAZ,0.0,,
76,MELISSA ESTHER,CHEN CHEN,PER,0.0,,
76,ARANTZA,FERNÁNDEZ GUTIERREZ,MEX,0.0,,
76,ZOE,GARCIA MOLINA,ARG,0.0,,
76,SOFIA ALEJANDRA,HERRERA VEGA CENTENO,PER,0.0,,
76,MARÍA FERNANDA,HIDALGO AMEZQUITA,MEX,0.0,,
76,SILVANA LOURDES,LEYTON MATTO,PER,0.0,,
76,TEGWEN,OATES,RSA,0.0,,
76,ELIZABETH,SEPULVEDA,PUR,0.0,,
76,MUYKUAY,SILVA,CHI,0.0,,
76,SARA,TRAJKOSKA,MKD,0.0,,
