Rank,Name,,Country,Qualification,Semi-final,Final
1,JAKOB,SCHUBERT,AUT,1.0,38+,48+
2,SORATO,ANRAKU,JPN,2.0,30+,48
3,ALEXANDER,MEGOS,GER,7.35,34,40
4,DOHYUN,LEE,KOR,11.62,29+,39
5,AO,YURIKUSA,JPN,6.71,32+,38+
6,PAUL,JENFT,FRA,10.06,29+,33+
7,SEAN,BAILEY,USA,11.0,29+,30+
8,ADAM,ONDRA,CZE,3.16,39+,27+
9,TOBY,ROBERTS,GBR,2.83,43+,20
10,YUNCHAN,SONG,KOR,4.97,32+,17
11,MEJDI,SCHALCK,FRA,10.1,27+,
12,SAM,AVEZOU,FRA,2.0,26+,
12,COLIN,DUFFY,USA,8.25,26+,
12,SASCHA,LEHMANN,SUI,2.24,26+,
12,TOMOA,NARASAKI,JPN,9.67,26+,
16,STEFANO,GHISOLFI,ITA,11.73,26,
16,SEAN,MCCOLL,CAN,8.06,26,
18,YANNICK,FLOHÉ,GER,5.98,24+,
19,JESSE,GRUPPER,USA,3.35,24,
19,MARTIN,STRANIK,CZE,11.48,24,
21,YUFEI,PAN,CHN,11.62,22+,
22,JONAS,UTELLI,SUI,10.68,22,
23,MARCELLO,BOMBARDI,ITA,12.85,20+,
24,ALBERTO,GINÉS LÓPEZ,ESP,5.48,19+,
24,NINO,GRÜNENFELDER,SUI,7.25,19+,
26,FILIP,SCHENK,ITA,10.58,18,
27,YOSHIYUKI,OGATA,JPN,8.46,6,
28,NICOLAS,COLLIN,BEL,13.25,,
29,PHILIPP,MARTIN,GER,14.14,,
29,HANNES,VAN DUYSEN,BEL,12.45,,
31,MEICHI,NARASAKI,JPN,14.46,,
31,JAMES,POPE,GBR,14.47,,
33,SIMON,LORENZI,BEL,18.55,,
33,HAMISH,MCARTHUR,GBR,18.55,,
33,LUKA,POTOCAR,SLO,16.93,,
36,NIMROD,MARCUS,ISR,17.23,,
37,OSCAR,BAUDRAND,CAN,20.07,,
37,NICOLAI,UZNIK,AUT,18.57,,
39,JONGWON,CHON,KOR,20.17,,
39,CAMPBELL,HARRISON,AUS,20.17,,
39,HANNES,PUMAN,SWE,19.17,,
42,PETER,KURIC,SVK,22.3,,
43,DILLON,COUNTRYMAN,USA,22.14,,
43,DIMITRI,FLICK,SUI,24.03,,
45,ALEX,KHAZANOV,ISR,26.64,,
45,MAXIMILLIAN,MILNE,GBR,26.64,,
45,SIMON,POTUCEK,CZE,25.26,,
48,YUVAL,SHEMLA,ISR,25.36,,
49,ZACH,GALLA,USA,26.12,,
49,TIES,VANCRAEYNEST,BEL,28.14,,
51,ZAN,LOVENJAK SUDAR,SLO,29.01,,
51,MICKAEL,MAWEM,FRA,26.25,,
53,GIORGIO,TOMATIS,ITA,30.07,,
53,PUTRA,TRI RAMADANI,INA,26.74,,
55,SLAV,KIROV,BUL,30.67,,
55,GABRIELE,MORONI,ITA,28.2,,
55,MUSAUWIR,MUSAUWIR,INA,30.67,,
55,NIMRÓD SEBESTYÉN,TUSNÁDY,HUN,30.67,,
59,FREDRIK,SERLACHIUS,SWE,29.98,,
60,RAM,LEVIN,ISR,31.43,,
60,MIKEL ASIER,LINACISORO MOLINA,ESP,31.43,,
60,JACK,MACDOUGALL,GBR,31.43,,
63,GUY,MCNAMEE,CAN,31.98,,
63,STEFAN,SCHERZ,AUT,31.98,,
65,LUKE,GOH WEN BIN,SGP,35.18,,
65,REZA,KOLASANGIAN,IRI,31.52,,
65,NATHAN,MARTIN,LUX,35.18,,
65,ANZE,PEHARC,SLO,35.18,,
65,NIKOLAY,RUSEV,BUL,35.18,,
65,DYLAN,SOIN,AUS,35.18,,
65,GERGŐ,VÁLYI,HUN,35.18,,
72,VICTOR,BAUDRAND,CAN,33.23,,
73,MEL,JANSE VAN RENSBURG,RSA,35.57,,
