Rank,Name,,Country,Qualification,Semi-final,Final
1,AI,MORI,JPN,1.73,52,top
2,JANJA,GARNBRET,SLO,1.0,47,top
3,CHAEHYUN,SEO,KOR,2.29,37,47+
4,MIA,KRAMPL,SLO,8.31,36+,42
5,BROOKE,RABOUTOU,USA,2.0,44+,39+
6,JESSICA,PILZ,AUT,4.77,37,39
7,LAURA,ROGORA,ITA,2.29,37+,36+
8,MIHO,NONAKA,JPN,8.15,36+,32
9,MOLLY,THOMPSON-SMITH,GBR,8.03,37+,26+
10,VITA,LUKAN,SLO,7.42,35+,
11,ORIANE,BERTONE,FRA,7.21,34+,
12,MANON,HILY,FRA,5.29,33,
13,HÉLÈNE,JANICOT,FRA,9.17,32+,
13,JAIN,KIM,KOR,8.37,32+,
13,ANASTASIA,SANDERS,USA,6.63,32+,
13,YEJOO,SEO,KOR,12.37,32+,
13,LYNN,VAN DER MEER,NED,12.33,32+,
18,NONOHA,KUME,JPN,3.67,32,
18,LUCIJA,TARKUS,SLO,13.86,32,
20,ZÉLIA,AVEZOU,FRA,7.83,28,
21,SARA,COPAR,SLO,10.75,27+,
21,CAMILLA,MORONI,ITA,9.0,27+,
21,MATTEA,PÖTZI,AUT,13.23,27+,
24,STASA,GEJO,SRB,9.08,25+,
25,ZHILU,LUO,CHN,8.29,24,
26,MARTINA,DEMMEL,GER,13.23,22+,
27,ELISKA,ADAMOVSKA,CZE,15.08,,
27,NATALIA,GROSSMAN,USA,13.25,,
29,CHAEYEONG,KIM,KOR,15.73,,
29,RYU,NAKAGAWA,JPN,14.14,,
31,ILARIA,SCOLARIS,ITA,15.1,,
31,MICHAELA,SMETANOVA,CZE,16.2,,
33,AYALA,KEREM,ISR,15.35,,
33,HANNAH,MEUL,GER,16.88,,
35,KYRA,CONDIE,USA,16.75,,
35,LUCIA,DÖRFFEL,GER,16.91,,
37,IEVGENIIA,KAZBEKOVA,UKR,17.15,,
37,ELNAZ,REKABI,IRI,16.94,,
39,ALEJANDRA,CONTRERAS,CHI,17.71,,
39,ANNE-SOPHIE,KOLLER,SUI,19.49,,
41,ANON,MATSUFUJI,JPN,21.75,,
41,ALANNAH,YIP,CAN,18.67,,
43,CHLOE,CAULIER,BEL,22.14,,
43,GIORGIA,TESIO,ITA,20.99,,
45,REBECCA,FRANGOS,CAN,22.08,,
45,OCEANIA,MACKENZIE,AUS,23.27,,
47,MARGARITA,AGAMBAYEVA,KAZ,23.96,,
47,MAYA,DREAMER,ISR,25.1,,
47,VALERI,KREMER,ISR,23.96,,
47,NOA,SHIRAN,ISR,25.1,,
47,FRANZISKA,STERRER,AUT,25.1,,
52,INDIANA,CHAPMAN,CAN,26.24,,
53,ZOÉ,EGLI,SUI,26.38,,
53,NOÉ,LOOSER,SUI,26.51,,
55,ERIN,MCNEICE,GBR,26.98,,
55,TEREZA,SIRUCKOVA,CZE,28.77,,
55,ALEKSANDRA,TOTKOVA,BUL,28.77,,
58,TINA JOHNSEN,HAFSAAS,NOR,28.25,,
59,MARTINA,CASTRO,CHI,29.66,,
59,SARINA,GHAFFARI,IRI,30.4,,
59,ANJA,KÖHLER,BRA,30.4,,
62,ARANTZA,LUNA VELASCO,MEX,31.74,,
63,KYLIE,CULLEN,USA,30.41,,
63,CLAUDIA,GHISOLFI,ITA,32.45,,
63,BABETTE,ROY,CAN,32.45,,
66,LIV,EGLI,SUI,30.74,,
67,ROCIO AILEN,BECERRA,ARG,32.83,,
67,ANASTASIA,KOBETS,UKR,34.7,,
67,IZIAR,MARTÍNEZ ALMENDROS,ESP,34.7,,
70,EMILIA,DAVILA,ECU,34.21,,
71,BIANCA,DE MAGALHAES DE CASTRO,BRA,34.77,,
71,MARKETA,JANOSOVA,CZE,37.23,,
71,NIKA,POTAPOVA,UKR,37.23,,
74,FUJIYANTI,WIDIA,INA,35.6,,
75,MATILDE,CABEZAS,CHI,35.71,,
75,HUNG YING,LEE,TPE,37.35,,
77,EMA,GALEOVA,CZE,38.24,,
77,RATTANKORN,SUTHAPHAISANWITHAYA,THA,36.68,,
79,VALENTINA,AGUADO,ARG,39.17,,
79,SVANA,BJARNASON,ISL,38.75,,
79,SUKMA,LINTANG CAHYANI,INA,38.75,,
79,ANJA,SANTINI MIKULIĆ,CRO,38.75,,
83,MICHELLE,HULLIGER,SUI,39.34,,
84,LIANET,CASTILLO,VEN,39.42,,
85,ANNE,ACKRE,NOR,40.69,,
85,ZOE,GARCIA MOLINA,ARG,40.71,,
85,DARIA,NESTERENKO,UKR,40.69,,
88,VIKTORIYA,ADAMENKO,KAZ,42.59,,
89,IGNACIA,MELLADO QUINTEROS,CHI,44.38,,
89,ELIZABETH,SEPULVEDA,PUR,44.38,,
89,MUYKUAY,SILVA,CHI,41.48,,
92,MARÍA FERNANDA,GONZÁLEZ RÁMIREZ,MEX,43.82,,
93,ARANTZA,FERNÁNDEZ GUTIERREZ,MEX,46.48,,
93,MARÍA FERNANDA,HIDALGO AMEZQUITA,MEX,44.72,,
93,REGINA,SALAZAR PUGA,MEX,44.72,,
96,MELISSA ESTHER,CHEN CHEN,PER,46.9,,
97,TEGWEN,OATES,RSA,47.73,,
97,SARA,TRAJKOSKA,MKD,47.24,,
99,SILVANA LOURDES,LEYTON MATTO,PER,48.25,,
100,SOFIA ALEJANDRA,HERRERA VEGA CENTENO,PER,49.73,,
,HOLLY,TOOTHILL,GBR,dns,,
