Rank,Name,,Country,Qualification,Final
1,MATTEO,ZURLONI,ITA,5.24,5.56
2,JINBAO,LONG,CHN,5.19,false start
3,RAHMAD,ADI MULYONO,INA,5.11,5.05
4,RISHAT,KHAIBULLIN,KAZ,5.28,7.34
5,KIROMAL,KATIBIN,INA,5.273,5.05
6,PENG,WU,CHN,5.15,5.12
7,LIANG,ZHANG,CHN,5.17,5.28 (5.17)
8,ERIK,NOYA CARDONA,ESP,5.39 (7.870),6.87 (5.39)
9,VEDDRIQ,LEONARDO,INA,5.10,6.35 (5.10)
10,XINSHANG,WANG,CHN,5.30,5.15
11,YAROSLAV,TKACH,UKR,5.39 (6.349),5.25
12,JUN,YASUKAWA,JPN,5.276,fall (5.27)
13,BASSA,MAWEM,FRA,5.355,7.28 (5.35)
14,ASPAR,ASPAR,INA,5.358,8.20 (5.35)
15,PIERRE,REBREYEND,FRA,5.37,5.49 (5.37)
16,ZACH,HAMMER,USA,5.38,6.69 (5.38)
17,GUILLAUME,MORO,FRA,5.42,
18,ZAINAL,ARIPIN,INA,5.442,
19,JOHN,BROSLER,USA,5.446,
20,REZA,ALIPOUR SHENAZANDIFARD,IRI,5.45,
21,CARLOS,GRANJA,ECU,5.46,
22,LEANDER,CARMANNS,GER,5.51 (5.535),
23,APHIWIT,LIMPANICHPAKDEE,THA,5.510 (13.122),
24,MARCIN,DZIENSKI,POL,5.513,
25,HRYHORII,ILCHYSHYN,UKR,5.52,
26,GIAN LUCA,ZODDA,ITA,5.53,
27,AMIR,MAIMURATOV,KAZ,5.543,
28,RYO,OMASA,JPN,5.548 (6.633),
29,ALESSANDRO,BOULOS,ITA,5.548 (fall),
30,KEVIN,AMON,AUT,5.55,
31,SEBASTIAN,LUCKE,GER,5.62,
32,MERRITT,ERNSBERGER,USA,5.65,
33,NOAH,BRATSCHI,USA,5.662,
34,LUCA,ROBBIATI,ITA,5.667,
35,RAFE,STOKES,GBR,5.67,
36,YONGJUN,JUNG,KOR,5.73,
37,LUKAS,KNAPP,AUT,5.76,
38,MICHAEL,FINN-HENRY,CAN,5.78,
39,SHO,TAKENAKA,JPN,5.79,
40,EUNCHEOL,SHIN,KOR,5.80,
41,MOTONORI,TABUCHI,JPN,5.816,
42,SHUTO,FUJINO,JPN,5.817,
43,DANYIL,BOLDYREV,UKR,5.87,
44,BEKNUR,ALTYNBEKOV,KAZ,5.89,
45,JAN,KRIZ,CZE,5.907,
46,GUSTAVO JOSE,PEREZ,VEN,5.908,
47,GABRIEL,CANCEL,ECU,5.91,
48,DENYS,MOZOLEVYCH,UKR,5.92,
49,ALISHER,MURAT,KAZ,5.93,
50,JOSHUA,BRUYNS,RSA,5.95 (afr),
51,MEHDI,ALIPOUR SHENAZANDIFARD,IRI,5.96,
52,SIRAPOB,JIRAJATURAPAK,THA,6.03,
53,DYLAN,LE,CAN,6.07,
54,PAOLO,RIVADENEIRA,ECU,6.16,
55,HUBERT,PRZYTULA,POL,6.18,
56,VALERIY,SERDYUK,KAZ,6.21,
57,HAYDEN,BARTON,AUS,6.22,
58,TOMAS,CHICAIZA DAVILA,ECU,6.26,
59,JOSE TOMAS,LEDESMA,CHI,6.28,
60,CHIA HSIANG,LIN,TPE,6.34,
61,SANGMIN,KIM,KOR,6.35,
62,JULIAN,DAVID,NZL,6.38,
63,LINUS,BADER,GER,6.45,
64,PETR,BURIAN,CZE,6.83,
65,VALENTIN,STERNIK,ARG,6.97,
66,LUDOVICO,FOSSALI,ITA,7.10,
67,MATTHEW,FALL,GBR,7.33,
68,TOBIAS,PLANGGER,AUT,7.36,
69,FLYNN,CHISHOLM,NZL,7.43,
70,KOSTIANTYN,PAVLENKO,UKR,8.20,
71,SAMUEL,WATSON,USA,8.90,
72,AARON,MATTES,AUS,8.91,
73,JOAQUIN,TAPIA,CHI,9.17,
74,EMILIO,FLORES,GUA,12.13,
75,ISAAC,ESTEVEZ,ECU,false start,
75,JIANGUO,LONG,CHN,false start,
75,ETHAN,PITCHER,CAN,false start,
,MARIUS,PAYET GABORIAUD,FRA,dns,
