Rank,Name,,Country,Qualification,Final
1,DESAK,MADE RITA KUSUMA DEWI,INA,6.75,6.49
2,EMMA,HUNT,USA,6.85,6.67 (par)
3,ALEKSANDRA,MIROSLAW,POL,6.40,6.55
4,ALEKSANDRA,KALUCKA,POL,6.78,8.07
5,RAJIAH,SALLSABILLAH,INA,7.01,7.72 (6.86)
6,PATRYCJA,CHUDZIAK,POL,7.04,7.14 (7.04)
7,LESLIE ADRIANA,ROMERO PÉREZ,ESP,7.22,7.18
8,YAFEI,ZHOU,CHN,7.40,7.22
9,NATALIA,KALUCKA,POL,6.98,fall (6.98)
10,LIJUAN,DENG,CHN,7.13,7.50 (7.13)
11,JIMIN,JEONG,KOR,7.30,7.15
12,DI,NIU,CHN,7.48,7.21
13,CAPUCINE,VIGLIONE,FRA,7.27,8.61 (7.27)
14,SHENGYAN,WANG,CHN,7.42,7.78 (7.42)
15,GIULIA,RANDI,ITA,7.47,7.43
16,NURUL,IQAMAH,INA,7.46,10.03 (7.46)
17,BEATRICE,COLLI,ITA,7.51,
18,SHAOQIN,ZHANG,CHN,7.607,
19,ANDREA,ROJAS,ECU,7.609,
20,VICTOIRE,ANDRIER,FRA,7.61,
21,CARLA,MARTÍNEZ VIDAL,ESP,7.63,
22,FRANZISKA,RITTER,GER,7.69,
23,ANNA,BROZEK,POL,7.77,
24,TAMARA,ULZHABAYEVA,KAZ,7.80,
25,SOPHIA,CURCIO,USA,7.95,
26,PIPER,KELLY,USA,7.99,
27,LISON,GAUTRON,FRA,8.04,
28,AI,TAKEUCHI,JPN,8.09,
29,OKSANA,BUROVA,UKR,8.34,
30,FUMIKA,KAWAKAMI,JPN,8.39,
31,MAHYA,DARABIAN,IRI,8.415,
32,KARIN,HAYASHI,JPN,8.419,
33,AURELIA,SARISSON,FRA,8.43,
34,NATSUMI,HAYASHI,JPN,8.46,
35,VALERIA,MACIAS FERREIRA,MEX,8.52,
36,KSENIIA,HORIELOVA,UKR,8.63,
37,ALINA,SHCHYHARIEVA,UKR,8.68,
38,CALLIE,CLOSE,USA,8.71,
39,HARUKA,KANETANI,JPN,8.76,
40,LIBERTY,RUNNELS,USA,8.79,
41,ERICA,VELEV,CAN,8.89,
42,PRATTHANA,RAKSACHAT,THA,8.95,
43,HANAREUM,SUNG,KOR,8.96,
44,SARAH,TETZLAFF,NZL,8.98,
45,MANON,LEBON,FRA,9.33,
46,DASOM,YUN,KOR,9.45,
47,ABBY,GEBERT,NZL,9.46,
48,ASSEL,MARLENOVA,KAZ,9.51,
49,NAWOO,CHOI,KOR,9.70,
50,CARMEN,CONTRERAS,CHI,9.76,
51,ARANTZA,FERNÁNDEZ GUTIERREZ,MEX,9.86,
52,ANNA,BALARSHINA,KAZ,9.93,
53,ARINA,KOZLOVA,KAZ,10.21,
54,JORJA,RANGI,NZL,10.71,
55,ABIGAIL,RUANO,ECU,11.02,
56,NICOLE,MEJIA,ECU,11.45,
57,MARÍA FERNANDA,HIDALGO AMEZQUITA,MEX,12.50,
58,GRACE,CROWLEY,AUS,15.87,
