Rank,Name,,Country,Qualification,Semi-final,Final
1,SORATO,ANRAKU,JPN,5.34,45,top
2,JESSE,GRUPPER,USA,5.34,32+,42+
3,ALBERTO,GINÉS LÓPEZ,ESP,3.08,25+,23
4,TOBY,ROBERTS,GBR,20.9,37+,21+
5,ALEXANDER,MEGOS,GER,7.86,29+,21+
6,YANNICK,FLOHÉ,GER,7.86,31+,21
7,SAM,AVEZOU,FRA,11.94,29+,20+
8,LUKA,POTOCAR,SLO,22.75,27,18+
9,YOSHIYUKI,OGATA,JPN,6.89,21+,
10,NEO,SUZUKI,JPN,14.49,21+,
11,MASAHIRO,HIGUCHI,JPN,9.99,21,
12,SASCHA,LEHMANN,SUI,5.34,20+,
13,TAISEI,HOMMA,JPN,9.99,20+,
13,SATONE,YOSHIDA,JPN,9.99,20+,
15,SHION,OMATA,JPN,11.94,20+,
16,JONAS,UTELLI,SUI,20.9,20,
17,MEICHI,NARASAKI,JPN,15.71,19+,
18,SIMON,LORENZI,BEL,22.52,19+,
19,STEFANO,GHISOLFI,ITA,13.61,19,
20,ARSÈNE,DUVAL,FRA,18.1,17+,
21,MARTIN,BERGANT,SLO,24.92,17+,
22,NAO,MONCHOIS,FRA,9.99,17,
23,MARCELLO,BOMBARDI,ITA,23.66,16+,
24,STEFAN,SCHERZ,AUT,24.19,16+,
25,LOVRO,CREP,SLO,25.25,16+,
26,CAMPBELL,HARRISON,AUS,25.65,16,
27,NINO,GRÜNENFELDER,SUI,26.99,,
28,JAMES,POPE,GBR,27.4,,
29,MARTIN,STRANIK,CZE,29.95,,
30,NICOLAS,COLLIN,BEL,30.5,,
31,GREGOR,VEZONIK,SLO,31.33,,
32,MICHAEL,PICCOLRUAZ,ITA,32.17,,
33,ANZE,PEHARC,SLO,32.23,,
34,FILIP,SCHENK,ITA,32.88,,
35,JULES,MARCHALAND,FRA,33.02,,
36,AO,YURIKUSA,JPN,33.05,,
37,DILLON,COUNTRYMAN,USA,34.25,,
38,SEBASTIAN,HALENKE,GER,35.16,,
39,PETER,KURIC,SVK,35.24,,
40,TIMOTEJ,ROMŠAK,SLO,36.66,,
41,SEAN,MCCOLL,CAN,39.06,,
42,GORAZD,JUREKOVIC,SLO,39.24,,
43,PHILIPP,MARTIN,GER,39.26,,
43,MAXIMILLIAN,MILNE,GBR,39.26,,
45,ZAN,LOVENJAK SUDAR,SLO,39.65,,
46,NIKOLAY,RUSEV,BUL,39.84,,
47,SIMON,POTUCEK,CZE,40.5,,
48,MILAN,PRESKAR,SLO,42.08,,
49,GIORGIO,TOMATIS,ITA,42.73,,
50,DIEGO,LEQUERICA BUSCAGLIA,PER,44.5,,
51,NATHAN,MARTIN,LUX,44.88,,
52,CHRISTOPH,HANKE,GER,44.99,,
53,DARIUS,RAPA,ROU,48.67,,
54,JAN-LUCA,POSCH,AUT,49.84,,
55,SANTIAGO,DE ALBA FLORES,MEX,51.94,,
56,MATEUS,RODRIGUES BELLOTTO,BRA,54.75,,
57,SLAV,KIROV,BUL,55.98,,
58,FELIPE,HO FOGANHOLO,BRA,56.71,,
59,JOSÉ ALEJANDRO,SAUCEDA RODRÍGUEZ,MEX,58.25,,
,HANNES,VAN DUYSEN,BEL,dns,,
