Rank,Name,,Country,Qualification,Semi-final,Final
1,JANJA,GARNBRET,SLO,1.22,35+,top
2,AI,MORI,JPN,1.73,35+,44+
3,VITA,LUKAN,SLO,11.14,33,40+
4,CHAEHYUN,SEO,KOR,3.74,34,38+
5,NATSUKI,TANII,JPN,5.87,34,33+
6,LAURA,ROGORA,ITA,4.58,31+,33+
7,NONOHA,KUME,JPN,9.17,31+,31+
8,MIA,KRAMPL,SLO,5.0,31+,11+
9,FUTABA,ITO,JPN,12.87,31+,
10,SARA,COPAR,SLO,23.98,31+,
11,JESSICA,PILZ,AUT,6.93,30+,
12,RYU,NAKAGAWA,JPN,15.36,29+,
13,MOLLY,THOMPSON-SMITH,GBR,11.4,29,
14,HANNAH,MEUL,GER,20.68,29,
15,LYNN,VAN DER MEER,NED,17.39,28+,
16,MANON,HILY,FRA,20.46,28+,
17,ORIANE,BERTONE,FRA,22.44,28+,
18,HÉLÈNE,JANICOT,FRA,14.12,27+,
19,LUCKA,RAKOVEC,SLO,20.68,27,
20,JAIN,KIM,KOR,17.73,26+,
21,YUETONG,ZHANG,CHN,14.12,25,
22,LANA,SKUSEK,SLO,22.44,25,
23,ELISKA,ADAMOVSKA,CZE,23.98,25,
24,MATTEA,PÖTZI,AUT,17.46,24+,
25,ROSA,REKAR,SLO,23.98,24+,
26,HANA,KOIKE,JPN,16.22,23,
27,STASA,GEJO,SRB,25.6,,
28,ELNAZ,REKABI,IRI,27.96,,
29,MICHAELA,SMETANOVA,CZE,29.29,,
30,FANNY,GIBERT,FRA,30.24,,
30,ALEKSANDRA,TOTKOVA,BUL,30.24,,
32,ZÉLIA,AVEZOU,FRA,30.91,,
33,VALERI,KREMER,ISR,31.2,,
34,JENNIFER EUCHARIA,BUCKLEY,SLO,31.73,,
35,YEJOO,SEO,KOR,32.56,,
36,ILARIA,SCOLARIS,ITA,34.35,,
37,LUCIA,DÖRFFEL,GER,36.03,,
37,SANDRA,HOPFENSITZ,GER,36.03,,
39,MARTINA,DEMMEL,GER,38.6,,
40,LUCIJA,TARKUS,SLO,38.96,,
41,CLAUDIA,GHISOLFI,ITA,39.91,,
42,PETRA,KLINGLER,SUI,40.35,,
42,ALANNAH,YIP,CAN,40.35,,
44,KYRA,CONDIE,USA,41.36,,
45,CHLOE,CAULIER,BEL,41.95,,
46,NOA,SHIRAN,ISR,44.0,,
47,ANJA,KÖHLER,BRA,45.25,,
48,KATJA,DEBEVEC,SLO,46.43,,
49,SANDRA,LETTNER,AUT,47.33,,
50,LUCIE,WATILLON,BEL,48.06,,
51,KÄTHE,ATKINS,GER,49.42,,
52,EVA MARIA,HAMMELMÜLLER,AUT,49.67,,
53,JULIJA,KRUDER,SLO,50.46,,
53,TEREZA,SIRUCKOVA,CZE,50.46,,
55,ZALA,MLAKAR STARIC,SLO,50.72,,
56,GIORGIA,TESIO,ITA,52.7,,
57,KERRY,SCOTT,USA,56.24,,
58,AIDA,TORRES ILLAMOLA,ESP,58.48,,
59,REBECCA,HOUNSELL,NZL,59.24,,
60,SVANA,BJARNASON,ISL,59.5,,
61,MILICA,MARJANOVIC,SRB,60.25,,
62,ISABELLA,DOMANESCHI,NZL,62.0,,
