Rank,Name,,Country,Qualification,Semi-final,Final
1,AI,MORI,JPN,1.73,top,36+
2,JESSICA,PILZ,AUT,6.32,34,31+
3,NATSUKI,TANII,JPN,3.35,top,26+
4,YUETONG,ZHANG,CHN,13.13,28+,22+
5,FUTABA,ITO,JPN,7.35,28+,22
6,MIHO,NONAKA,JPN,7.5,28+,21+
7,JAIN,KIM,KOR,5.0,34,20+
8,MANON,HILY,FRA,24.23,28+,17+
9,FANNY,GIBERT,FRA,19.9,24+,
10,LUCKA,RAKOVEC,SLO,22.73,24+,
11,MIA,KRAMPL,SLO,2.45,22+,
12,VITA,LUKAN,SLO,4.69,22+,
13,ZÉLIA,AVEZOU,FRA,12.04,22+,
14,MATTEA,PÖTZI,AUT,15.47,22+,
15,LUCIJA,TARKUS,SLO,19.6,22+,
16,RYU,NAKAGAWA,JPN,9.08,20,
17,SARA,COPAR,SLO,15.47,20,
18,OCEANIA,MACKENZIE,AUS,7.75,19+,
19,LYNN,VAN DER MEER,NED,19.44,19+,
20,HANA,KOIKE,JPN,19.48,19+,
20,ALEKSANDRA,TOTKOVA,BUL,19.48,19+,
22,KATJA,DEBEVEC,SLO,23.92,19+,
23,ZHILU,LUO,CHN,24.59,19+,
24,ANON,MATSUFUJI,JPN,15.47,19,
25,MARTINA,DEMMEL,GER,24.03,17+,
26,VALERI,KREMER,ISR,18.76,11+,
27,NOA,SHIRAN,ISR,24.69,,
28,HANNAH,MEUL,GER,26.01,,
29,PETRA,KLINGLER,SUI,26.74,,
30,MICHAELA,SMETANOVA,CZE,27.24,,
31,CHLOE,CAULIER,BEL,27.55,,
32,ALANNAH,YIP,CAN,29.35,,
33,YEJOO,SEO,KOR,30.0,,
34,EMMA,BERNHARD,GER,30.85,,
35,KÄTHE,ATKINS,GER,31.75,,
36,TEREZA,SIRUCKOVA,CZE,32.15,,
37,ANNA MARIA,APEL,GER,34.21,,
38,ELISKA,ADAMOVSKA,CZE,36.28,,
39,CHUNHUA,WU,CHN,36.74,,
40,ZIHAN,HUANG,CHN,36.99,,
41,ROXY,PERRY,AUS,40.39,,
42,HONGCHUN,XIANG,CHN,41.73,,
43,ANISHA,VERMA,IND,42.21,,
44,YIXIN,LIU,CHN,42.43,,
45,SANIYA FAROOQUE,SHAIKH,IND,44.24,,
