Rank,Name,,Country,Qualification,Final
1,PENG,WU,CHN,5.11,5.05
2,JINGJIE,HUANG,CHN,5.17,5.10
3,RYO,OMASA,JPN,5.24,5.11
4,EUNCHEOL,SHIN,KOR,5.258,5.16
5,LIANG,ZHANG,CHN,5.02,6.09 (5.02)
6,YU,LIN,CHN,5.07,7.66 (5.07)
7,SAMUEL,WATSON,USA,5.23,fall (5.12)
8,LUDOVICO,FOSSALI,ITA,5.22,5.26 (5.22)
9,XINSHANG,WANG,CHN,5.256,5.26 (5.25)
10,AMIR,MAIMURATOV,KAZ,5.27,fall (5.27)
11,ZACH,HAMMER,USA,5.28,fall (5.28)
12,ASPAR,ASPAR,INA,5.30,fall (5.30)
13,YINGYI,WU,CHN,5.31 (5.888),5.32 (5.31)
14,MINHUI,WANG,CHN,5.31 (5.350),5.59 (5.31)
15,YONGJUN,JUNG,KOR,5.351,5.36 (5.35)
16,ZAINAL,ARIPIN,INA,5.355,false start (5.35)
17,ALESSANDRO,BOULOS,ITA,5.36,
18,YAROSLAV,TKACH,UKR,5.37,
19,DINGFENG,ZHANG,CHN,5.40,
20,LONG,CAO,CHN,5.453,
21,ISAAC,ESTEVEZ,ECU,5.454,
22,MARCIN,DZIENSKI,POL,5.456,
23,JUN,YASUKAWA,JPN,5.471,
24,SEBASTIAN,LUCKE,GER,5.476,
25,GIAN LUCA,ZODDA,ITA,5.51,
26,ALFIAN,MUHAMMAD FAJRI,INA,5.520,
27,LUKAS,KNAPP,AUT,5.521,
28,GUILLAUME,MORO,FRA,5.522,
29,KOSTIANTYN,PAVLENKO,UKR,5.553,
30,RAFE,STOKES,GBR,5.557,
31,YUDAI,IKEDA,JPN,5.64,
32,RICHARD,LI,USA,5.72,
33,CHEUK-NAM,WONG,HKG,5.74,
34,LINUS,BADER,GER,5.76,
35,YOUNGHYUN,KIM,KOR,5.84,
36,DONG JUN,KIM,KOR,5.89,
37,KEVIN,AMON,AUT,5.92,
38,SHO,TAKENAKA,JPN,5.97,
39,MICHAEL,FINN-HENRY,CAN,6.11,
40,JIANGUO,LONG,CHN,6.12,
41,CHEUNG-CHI SHOJI,CHAN,HKG,6.19,
42,NOAH,BRATSCHI,USA,6.43,
43,MINSU,KANG,KOR,6.57,
44,SHUTO,FUJINO,JPN,6.80,
45,GANESH,BHUJEL,IND,7.08,
46,ERIK,NOYA CARDONA,ESP,7.17,
47,DHIRAJ DINKAR,BIRAJDAR,IND,7.36,
48,ZAHEER,AHMAD,PAK,8.22,
49,TOBIAS,PLANGGER,AUT,9.17,
50,MIR ABUZAR,FAIZ,PAK,9.24,
