Rank,Name,,Country,Qualification,Final
1,LIJUAN,DENG,CHN,6.68,6.58
2,NATALIA,KALUCKA,POL,6.96,6.69
3,DI,NIU,CHN,7.04,6.89
4,ALEKSANDRA,KALUCKA,POL,6.61,7.85
5,ALEKSANDRA,MIROSLAW,POL,6.30,fall (6.30)
6,YAFEI,ZHOU,CHN,6.95,6.98 (6.95)
7,SHAOQIN,ZHANG,CHN,7.14,6.98
8,SHENGYAN,WANG,CHN,7.00,7.91 (7.00)
9,LESLIE ADRIANA,ROMERO PÉREZ,ESP,6.98,7.22 (6.98)
10,CAPUCINE,VIGLIONE,FRA,7.102,7.05
11,MI,YANG,CHN,7.104,10.27 (7.10)
12,YUFANG,XIE,CHN,7.24,7.32 (7.24)
13,PATRYCJA,CHUDZIAK,POL,7.30,fall (7.30)
14,GUIZHEN,XIE,CHN,7.32,7.31
15,MANON,LEBON,FRA,7.41,7.55 (7.41)
16,GIULIA,RANDI,ITA,7.47,7.61 (7.47)
17,ANNA,BROZEK,POL,7.53,
18,BEATRICE,COLLI,ITA,7.54,
19,TAMARA,ULZHABAYEVA,KAZ,7.68,
20,YUJU,MOU,CHN,7.72,
21,HANAREUM,SUNG,KOR,7.86,
22,AI,TAKEUCHI,JPN,8.08,
23,FUMIKA,KAWAKAMI,JPN,8.26,
24,ISIS,ROTHFORK,USA,8.31,
25,VICTOIRE,ANDRIER,FRA,8.43,
26,KAITLYN,BONE,USA,8.56,
27,NATSUMI,HAYASHI,JPN,8.70,
28,SEOYEON,PARK,KOR,8.89,
29,DASOM,YUN,KOR,9.25,
30,VALERIA,MACIAS FERREIRA,MEX,9.37,
31,YENA,PI,KOR,9.73,
32,KARIN,HAYASHI,JPN,9.88,
33,SHIVPREET,PANNU,IND,10.17,
34,ANISHA,VERMA,IND,10.20,
35,AURELIA,SARISSON,FRA,10.49,
